eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,3,13,Kosovo,Eastern Europe,Pristina,Pristina,42.662914,21.165503,0
2.02E+11,2017,5,13,Kosovo,Eastern Europe,Pristina,Pristina,42.662914,21.165503,0
2.02E+11,2017,8,16,Kosovo,Eastern Europe,Pristina,Pristina,42.662914,21.165503,0
2.02E+11,2017,4,10,Democratic Republic of the Congo,Sub-Saharan Africa,Kasai,Kamonia,-6.881948,20.92367,10
2.02E+11,2017,3,21,Central African Republic,Sub-Saharan Africa,Ouaka,Agoudou Manga,5.881409,20.909629,17
2.02E+11,2017,7,28,Kosovo,Eastern Europe,Kosovska Mitrovica,Mitrovica,42.899396,20.868111,0
2.02E+11,2017,1,10,Kosovo,Eastern Europe,Kosovska Mitrovica,Mitrovica,42.891391,20.865999,0
2.02E+11,2017,3,21,Central African Republic,Sub-Saharan Africa,Ouaka,Yasseneme,5.921246,20.850245,17
2.02E+11,2017,3,21,Central African Republic,Sub-Saharan Africa,Ouaka,Ngouyanza,5.921246,20.850245,16
2.02E+11,2017,11,26,Kosovo,Eastern Europe,Kosovska Mitrovica,Zubin Potok,42.916667,20.683333,0
2.02E+11,2017,11,26,Kosovo,Eastern Europe,Kosovska Mitrovica,Zubin Potok,42.916667,20.683333,0
2.02E+11,2017,2,26,Central African Republic,Sub-Saharan Africa,Ouaka,Bambari,5.763551,20.674038,1
2.02E+11,2017,4,3,Kosovo,Eastern Europe,Pec,Dragolec,42.771822,20.517113,0
2.02E+11,2017,1,5,Serbia,Eastern Europe,Belgrade,Belgrade,44.786568,20.448922,0
2.02E+11,2017,8,31,Libya,Middle East & North Africa,Benghazi,Benina,32.094952,20.268871,0
2.02E+11,2017,5,19,Libya,Middle East & North Africa,Benghazi,Suluq,31.669186,20.249641,6
